"Freq [GHz]","dB(St(gnd_T1,gnd_T1)) []","dB(St(gnd_T2,gnd_T1)) []"
3.935,-0.261890776751918,-13.7541118918807
3.94,-0.25943188069594,-13.8005672180228
3.945,-0.257072895082469,-13.84552930962
3.95,-0.254810008871896,-13.8890190894629
3.955,-0.252639626395528,-13.9310568139133
3.96,-0.25055835407322,-13.9716620978078
3.965,-0.248562988117473,-14.010853938219
3.97,-0.246650503142843,-14.0486507371327
3.975,-0.244818041606869,-14.0850703230971
3.98,-0.243062904015762,-14.1201299718944
3.985,-0.241382539833789,-14.1538464262872
3.99,-0.239774539041091,-14.1862359148831
3.995,-0.238236624289474,-14.2173141701647
4,-0.236766643610074,-14.2470964457236
4.005,-0.235362563630956,-14.275597532741
4.01,-0.234022463266361,-14.3028317757496
4.015,-0.232744527842421,-14.3288130877135
4.02,-0.231527043627377,-14.3535549644588
4.025,-0.230368392736947,-14.3770704984864
4.03,-0.229267048387883,-14.3993723921976
4.035,-0.22822157047515,-14.4204729705596
4.04,-0.227230601450073,-14.4403841932379
4.045,-0.226292862478745,-14.459117666222
4.05,-0.22540714986159,-14.4766846529662
4.055,-0.224572331696597,-14.4930960850706
4.06,-0.223787344770161,-14.5083625725213
4.065,-0.223051191660711,-14.5224944135128
4.07,-0.222362938041475,-14.5355016038692
4.075,-0.221721710169914,-14.5473938460841
4.08,-0.221126692552262,-14.5581805579972
4.085,-0.220577125772576,-14.5678708811212
4.09,-0.220072304476445,-14.5764736886381
4.095,-0.219611575500518,-14.5839975930771
4.1,-0.219194336139374,-14.5904509536895
4.105,-0.218820032542245,-14.5958418835331
4.11,-0.218488158232512,-14.6001782562798
4.115,-0.218198252743563,-14.6034677127576
4.12,-0.217949900364975,-14.6057176672384
4.125,-0.217742728993739,-14.6069353134834
4.13,-0.217576409085354,-14.6071276305556
4.135,-0.217450652700303,-14.606301388409
4.14,-0.217365212641734,-14.6044631532657
4.145,-0.2173198816804,-14.6016192927867
