"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
3.67,-0.35701526981685,-15.8048405554348
3.68,-0.354674696751459,-15.849615861295
3.69,-0.352383446281866,-15.8929695894258
3.7,-0.350138917557936,-15.9349126657396
3.71,-0.347938596643514,-15.9754555485073
3.72,-0.34578005225697,-16.0146082423025
3.73,-0.343660931971822,-16.0523803114454
3.74,-0.341578958851435,-16.0887808929754
3.75,-0.339531928493959,-16.1238187091776
3.76,-0.337517706465142,-16.1575020796888
3.77,-0.335534226098737,-16.1898389332068
3.78,-0.333579486645096,-16.2208368188252
3.79,-0.331651551750149,-16.2505029170163
3.8,-0.329748548248092,-16.278844050282
3.81,-0.327868665251971,-16.3058666934928
3.82,-0.326010153527301,-16.3315769839341
3.83,-0.324171325134911,-16.3559807310775
3.84,-0.322350553329362,-16.3790834260938
3.85,-0.320546272700659,-16.4008902511256
3.86,-0.318756979546778,-16.4214060883337
3.87,-0.316981232465657,-16.4406355287332
3.88,-0.315217653155319,-16.4585828808333
3.89,-0.313464927411382,-16.4752521790949
3.9,-0.311721806311519,-16.490647192219
3.91,-0.309987107576598,-16.5047714312781
3.92,-0.308259717098772,-16.5176281577031
3.93,-0.30653859062669,-16.5292203911376
3.94,-0.304822755598431,-16.5395509171694
3.95,-0.303111313112949,-16.5486222949511
3.96,-0.301403440030692,-16.5564368647199
3.97,-0.299698391194693,-16.5629967552248
3.98,-0.297995501763046,-16.5683038910729
3.99,-0.2962941896442,-16.572360000002
4,-0.294593958026365,-16.5751666200894
4.01,-0.292894397992541,-16.5767251069044
4.02,-0.291195191212823,-16.577036640613
4.03,-0.289496112705568,-16.5761022330426
4.04,-0.287797033659295,-16.5739227347148
4.05,-0.286097924307174,-16.570498841852
4.06,-0.28439885684614,-16.5658311033673
4.07,-0.282700008392565,-16.5599199278427
4.08,-0.281001663966921,-16.5527655905031
4.09,-0.279304219499517,-16.5443682401935
4.1,-0.27760818484982,-16.5347279063646
4.11,-0.275914186831889,-16.5238445060745
4.12,-0.274222972238474,-16.5117178510122
4.13,-0.272535410856668,-16.4983476545499
4.14,-0.270852498467886,-16.4837335388301
4.15,-0.269175359825188,-16.4678750418935
4.16,-0.267505251601201,-16.4507716248562
4.17,-0.265843565299714,-16.4324226791399
4.18,-0.264191830124573,-16.4128275337642
4.19,-0.262551715799172,-16.391985462707
4.2,-0.260925035330393,-16.3698956923403
4.21,-0.259313747710705,-16.3465574089481
4.22,-0.257719960552348,-16.3219697663354
4.23,-0.256145932647658,-16.2961318935349
4.24,-0.254594076449704,-16.2690429026205
4.25,-0.253066960467538,-16.2407018966366
4.26,-0.251567311570411,-16.2111079776513
4.27,-0.250098017195493,-16.1802602549445
4.28,-0.24866212745372,-16.1481578533407
4.29,-0.247262857128348,-16.1147999216971
4.3,-0.245903587561144,-16.0801856415595
4.31,-0.244587868420927,-16.0443142359976
4.32,-0.243319419349368,-16.0071849786332
4.33,-0.242102131479108,-15.9687972028757
4.34,-0.240940068819078,-15.9291503113794
4.35,-0.23983746950209,-15.888243785739
4.36,-0.238798746889778,-15.8460771964402
4.37,-0.237828490529858,-15.8026502130845
4.38,-0.236931466960893,-15.7579626149065
4.39,-0.236112620359474,-15.7120143016053
4.4,-0.235377073024951,-15.6648053045132
4.41,-0.234730125696675,-15.6163357981237
4.42,-0.234177257698689,-15.5666061120055
4.43,-0.233724126906836,-15.5156167431292
4.44,-0.233376569533132,-15.463368368636
4.45,-0.23314059972224,-15.4098618590781
4.46,-0.233022408954796,-15.3550982921645
4.47,-0.233028365252306,-15.2990789670462
4.48,-0.23316501217826,-15.2418054191785
4.49,-0.233439067630086,-15.1832794357981
4.5,-0.233857422416448,-15.1235030720576
4.51,-0.234427138614434,-15.0624786678607
4.52,-0.235155447701078,-15.0002088654439
4.53,-0.236049748453709,-14.936696627754
4.54,-0.237117604613453,-14.871945257673
4.55,-0.23836674230652,-14.8059584181429
4.56,-0.239805047217506,-14.7387401532495
4.57,-0.241440561509431,-14.6702949103218
4.58,-0.24328148048499,-14.600627563112
4.59,-0.245336148983709,-14.5297434361185
4.6,-0.247613057509817,-14.4576483301217
4.61,-0.250120838085828,-14.3843485490007
4.62,-0.252868259826957,-14.3098509279053
4.63,-0.255864224231753,-14.2341628628579
4.64,-0.259117760184654,-14.1572923418626
4.65,-0.262638018666406,-14.0792479776016
4.66,-0.26643426716867,-14.0000390417988
4.67,-0.27051588380963,-13.9196755013346
4.68,-0.274892351147657,-13.8381680561955
4.69,-0.279573249690886,-13.7555281793407
4.7,-0.284568251100891,-13.6717681585726
4.71,-0.289887111089244,-13.5869011404913
4.72,-0.295539662006695,-13.5009411766175
4.73,-0.30153580512495,-13.4139032717603
4.74,-0.307885502612358,-13.3258034347065
4.75,-0.314598769205141,-13.2366587313018
4.76,-0.321685663576942,-13.1464873399866
4.77,-0.329156279410462,-13.0553086098437
4.78,-0.337020736175713,-12.9631431212021
4.79,-0.345289169620559,-12.8700127488326
4.8,-0.353971721980481,-12.7759407277531
4.81,-0.363078531915123,-12.6809517216465
4.82,-0.372619724181043,-12.5850718938739
4.83,-0.382605399050562,-12.4883289810417
4.84,-0.393045621488344,-12.3907523690551
4.85,-0.403950410098414,-12.2923731715596
4.86,-0.415329725855466,-12.1932243106364
4.87,-0.427193460635862,-12.0933405995789
4.88,-0.439551425564719,-11.9927588275318
4.89,-0.452413339197011,-11.8915178457247
4.9,-0.465788815551662,-11.789658654976
4.91,-0.479687352019077,-11.6872244940809
4.92,-0.494118317163632,-11.5842609286303
4.93,-0.509090938443818,-11.4808159397316
4.94,-0.524614289874068,-11.3769400120218
4.95,-0.540697279653213,-11.2726862202764
4.96,-0.557348637785444,-11.1681103138236
4.97,-0.57457690372112,-11.0632707978726
4.98,-0.592390414044822,-10.9582290107614
4.99,-0.610797290239723,-10.8530491960167
5,-0.629805426557242,-10.7477985680093
